Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Polo-like kinase mediated events Homo sapiens R-HSA-156711	4/16	1.022429274849078e-06	0.0003813661195187061	0	0	69.05555555555556	952.506005361108	CCNB1;PLK1;MYBL2;FOXM1
Reactome_2016	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest Homo sapiens R-HSA-6804114	3/18	9.371291441807692e-05	0.0174774585389713	0	0	41.0	380.2862565875762	CCNB1;PCNA;AURKA
Reactome_2016	Cyclin A/B1 associated events during G2/M transition Homo sapiens R-HSA-69273	3/22	0.00017430999547730406	0.018283502956489	0	0	32.36190992946283	280.0818212549987	CCNB1;PLK1;FOXM1
Reactome_2016	Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955	2/5	0.0002450871709985121	0.018283502956489	0	0	135.35374149659864	1125.3170126751409	SV2A;VAMP2
Reactome_2016	Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981	2/5	0.0002450871709985121	0.018283502956489	0	0	135.35374149659864	1125.3170126751409	SV2A;VAMP2
Reactome_2016	Phosphorylation of Emi1 Homo sapiens R-HSA-176417	2/6	0.0003664321680484968	0.0227798664470148	0	0	101.51020408163264	803.1179907171842	CCNB1;PLK1
Reactome_2016	GLI proteins bind promoters of Hh responsive genes to promote transcription Homo sapiens R-HSA-5635851	2/7	0.0005113327792346296	0.0238408908318146	0	0	81.20408163265306	615.4043164173056	PTCH1;PTCH2
Reactome_2016	Activation of NIMA Kinases NEK9, NEK6, NEK7 Homo sapiens R-HSA-2980767	2/7	0.0005113327792346296	0.0238408908318146	0	0	81.20408163265306	615.4043164173056	CCNB1;PLK1
Reactome_2016	Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799	2/10	0.0010850384206118	0.0436505578223119	0	0	50.74489795918368	346.39177176286466	SV2A;VAMP2
Reactome_2016	Non-integrin membrane-ECM interactions Homo sapiens R-HSA-3000171	3/42	0.0012085906045389	0.0436505578223119	0	0	15.750198255352895	105.81456304852416	DDR1;LAMA3;DMD
Reactome_2016	SUMOylation of DNA replication proteins Homo sapiens R-HSA-4615885	3/44	0.0013842585226956	0.0436505578223119	0	0	14.980387226552676	98.60975682160374	PCNA;CDCA8;AURKA
Reactome_2016	G2/M Transition Homo sapiens R-HSA-69275	5/173	0.0017746152030384	0.0436505578223119	0	0	6.181704260651629	39.1559759789783	CCNB1;PLK1;MYBL2;FOXM1;AURKA
Reactome_2016	TP53 Regulates Transcription of Cell Cycle Genes Homo sapiens R-HSA-6791312	3/48	0.0017818416942912	0.0436505578223119	0	0	13.646048109965635	86.3809554416349	CCNB1;PCNA;AURKA
Reactome_2016	Mitotic G2-G2/M phases Homo sapiens R-HSA-453274	5/175	0.0018661950599364	0.0436505578223119	0	0	6.108359133126935	38.38403482377908	CCNB1;PLK1;MYBL2;FOXM1;AURKA
