Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DisGeNET	Aplasia Cutis Congenita	7/199	6.040303774557676e-07	0.0010389322492239	0	0	16.75218023255814	239.88521270174647	CCNB1;PCNA;NFIB;LAMA3;SMARCA2;RUNX3;MET
DisGeNET	Mixed Salivary Gland Tumor	5/105	6.362390389933551e-06	0.0054716557353428	0	0	22.05555555555556	263.8970690160722	PCNA;MAML2;NFIB;LIFR;RUNX3
DisGeNET	Milium Cyst	3/19	1.3849289100030806e-05	0.0069937880300099	0	0	79.52393617021276	889.6562746439253	PTCH1;LAMA3;PTCH2
DisGeNET	Sprengel deformity	3/20	1.626462332560456e-05	0.0069937880300099	0	0	74.84230287859825	825.2500115945311	THRB;PTCH1;PTCH2
DisGeNET	Adenoid cystic carcinoma of salivary gland	3/22	2.1894288219208917e-05	0.0075316351474078	0	0	66.95744680851064	718.4055140842808	NFIB;RUNX3;MET
DisGeNET	Epithelial ovarian cancer	12/1329	8.051817057934625e-05	0.0157017545284007	0	0	4.467809615154058	42.11816489998506	CCNB1;PCNA;BDH2;PTCH1;TRIM2;PTCH2;LAMA3;SPRY1;DMD;RUNX3;MET;ETV5
DisGeNET	BASAL CELL CARCINOMA, SOMATIC	2/6	9.128927051395768e-05	0.0157017545284007	0	0	207.77083333333331	1932.5756890799971	PTCH1;PTCH2
DisGeNET	Cardiac rhabdomyoma	2/6	9.128927051395768e-05	0.0157017545284007	0	0	207.77083333333331	1932.5756890799971	PTCH1;PTCH2
DisGeNET	Ovarian Fibromata	2/6	9.128927051395768e-05	0.0157017545284007	0	0	207.77083333333331	1932.5756890799971	PTCH1;PTCH2
DisGeNET	Parietal bossing	2/6	9.128927051395768e-05	0.0157017545284007	0	0	207.77083333333331	1932.5756890799971	PTCH1;PTCH2
DisGeNET	Vertebral wedging	2/7	0.00012760097078443218	0.0182894724791019	0	0	166.20833333333334	1490.3240703269437	PTCH1;PTCH2
DisGeNET	Calcification of falx cerebri	2/7	0.00012760097078443218	0.0182894724791019	0	0	166.20833333333334	1490.3240703269437	PTCH1;PTCH2
DisGeNET	Gastrointestinal Stromal Tumors	6/323	0.0001479711405423402	0.0195777201332942	0	0	8.445511901347864	74.47669011330554	CCNB1;PCNA;PTCH1;PTCH2;DMD;MET
DisGeNET	Short distal phalanx of the thumb	2/8	0.0001698630098259154	0.0208688840643267	0	0	138.5	1202.2517804391236	PTCH1;PTCH2
DisGeNET	Basal Cell Nevus Syndrome	3/46	0.0002068927342806532	0.0234400105590938	0	0	29.55022266204849	250.683702096932	PCNA;PTCH1;PTCH2
DisGeNET	Short 4th metacarpal	2/9	0.00021804660985203623	0.0234400105590938	0	0	118.70833333333331	1000.8064198202924	PTCH1;PTCH2
DisGeNET	Adenocarcinoma, Oxyphilic	4/122	0.0002443241739391557	0.0242703270686017	0	0	14.614591009579955	121.54976727814284	PCNA;PTCH1;RUNX3;MET
DisGeNET	Cervical Squamous Intraepithelial Neoplasia	3/50	0.00026526273964070014	0.0242703270686017	0	0	27.02987777274785	222.5853605029436	PCNA;LAMA3;MET
DisGeNET	Adenocarcinoma, Tubular	4/125	0.0002681024501764144	0.0242703270686017	0	0	14.2500898311175	117.19475335938994	PCNA;PTCH1;RUNX3;MET
DisGeNET	Feeding difficulties	5/239	0.0003194153332596546	0.0271976132959545	0	0	9.361823361823362	75.35348771877803	THRB;PTCH1;LAMA3;LIFR;NR3C2
DisGeNET	Jaw Keratocyst	2/11	0.000332063883264561	0.0271976132959545	0	0	92.31944444444444	739.4956618223716	PCNA;PTCH1
DisGeNET	Accessory rib	2/12	0.0003978405023918532	0.0297515506136516	0	0	83.08333333333333	650.4975835514635	PTCH1;PTCH2
DisGeNET	Keratocystic Odontogenic Tumor	2/12	0.0003978405023918532	0.0297515506136516	0	0	83.08333333333333	650.4975835514635	PTCH1;PTCH2
DisGeNET	Adenomatous Polyposis Coli	6/392	0.0004184807412221667	0.0299040839661423	0	0	6.911446066886481	53.7633074221898	CCNB1;PCNA;PTCH1;RUNX3;MET;NR3C2
DisGeNET	Rhabdomyosarcoma	6/397	0.0004475206966833908	0.0299040839661423	0	0	6.821320623110904	52.60457696847243	PCNA;PTCH1;LIFR;SPRY1;DMD;MET
DisGeNET	Gastrointestinal Stromal Sarcoma	3/60	0.000455062391672894	0.0299040839661423	0	0	22.27659574468085	171.42009780807578	PTCH1;PTCH2;DMD
DisGeNET	Broad face	2/13	0.00046942457388711873	0.0299040839661423	0	0	75.52651515151516	578.8354329773197	PTCH1;PTCH2
DisGeNET	Curvature of spine	6/408	0.0005169603732444072	0.031756137213585	0	0	6.630936227951153	50.17990388021586	PTCH1;PTCH2;LIFR;DMD;SMARCA2;FAM126A
DisGeNET	Skin tag	2/14	0.0005467878206419364	0.0324301741897976	0	0	69.22916666666667	520.0114050756229	PTCH1;PTCH2
DisGeNET	Acquired scoliosis	6/418	0.0005871370192254612	0.0336625224355931	0	0	6.466681376875552	48.11374126252365	PTCH1;PTCH2;LIFR;DMD;SMARCA2;FAM126A
DisGeNET	Medulloblastoma	7/590	0.0006231723550741642	0.0345760145395987	0	0	5.407834377119151	39.91353517843364	CCNB1;PCNA;PTCH1;PTCH2;LIFR;MET;WLS
DisGeNET	Malignant neoplasm of salivary gland	3/69	0.0006858216610371124	0.0368629142807447	0	0	19.230174081237912	140.08975927188362	MAML2;RUNX3;MET
DisGeNET	Benign neurologic neoplasms	2/16	0.0007187392304892979	0.0374615598921694	0	0	59.333333333333336	429.45537567816734	PCNA;PTCH1
DisGeNET	Cakut	3/71	0.0007455208566439991	0.0377145845125787	0	0	18.66270337922403	134.39810435842293	HPSE2;LIFR;SPRY1
DisGeNET	Sclerocystic Ovaries	4/166	0.0007829035357803533	0.0384741166154916	0	0	10.621578099838969	75.97084870082031	CCNB1;LIFR;DMD;RUNX3
DisGeNET	Epithelioma	5/298	0.000869312020087346	0.0415337965152843	0	0	7.454304133485021	52.53650759120063	CCNB1;PCNA;NFIB;RUNX3;MET
DisGeNET	Adenomatous goiter	2/20	0.0011307590059983	0.0466566104513761	0	0	46.138888888888886	313.0461870363529	PTCH1;MET
DisGeNET	Calf muscle hypertrophy	2/20	0.0011307590059983	0.0466566104513761	0	0	46.138888888888886	313.0461870363529	DMD;LIMS2
DisGeNET	Agenesis of corpus callosum	5/317	0.0011451317146009	0.0466566104513761	0	0	6.993589743589744	47.36223753128508	NFIB;PTCH1;SMARCA2;RUNX3;MET
DisGeNET	Hashimoto Disease	4/186	0.0011943911566014	0.0466566104513761	0	0	9.444816053511706	63.56473328919497	PCNA;THRB;PTCH1;MET
DisGeNET	Skin Ulcer	3/84	0.0012148566191106	0.0466566104513761	0	0	15.657210401891254	105.10887662312086	PCNA;LAMA3;MET
DisGeNET	Neoplasms, Radiation-Induced	2/21	0.0012477930702112	0.0466566104513761	0	0	43.708333333333336	292.25047477799524	PCNA;PTCH1
DisGeNET	Malformation of the neck	2/21	0.0012477930702112	0.0466566104513761	0	0	43.708333333333336	292.25047477799524	PTCH1;PTCH2
DisGeNET	Oculo-dento-digital syndrome	2/21	0.0012477930702112	0.0466566104513761	0	0	43.708333333333336	292.25047477799524	PTCH1;PTCH2
DisGeNET	Congenital anomaly of neck	2/21	0.0012477930702112	0.0466566104513761	0	0	43.708333333333336	292.25047477799524	PTCH1;PTCH2
DisGeNET	Deformity of neck	2/21	0.0012477930702112	0.0466566104513761	0	0	43.708333333333336	292.25047477799524	PTCH1;PTCH2
DisGeNET	AIDS with Kaposi's sarcoma	2/22	0.001370383663162	0.050150210651886	0	0	41.520833333333336	273.7329252658829	PCNA;WLS
DisGeNET	Carcinoma, Papillary	4/196	0.001448444766661	0.0516011346228083	0	0	8.94836956521739	58.49786202829843	THRB;PTCH1;PTCH2;MET
DisGeNET	C-cell hyperplasia of thyroid	2/23	0.0014985033958486	0.0516011346228083	0	0	39.54166666666666	257.15086234948103	PTCH1;SPRY1
DisGeNET	Congenital clubfoot	4/198	0.0015034416443697	0.0516011346228083	0	0	8.855221873599282	57.55892773976394	TRIM2;LIFR;SMARCA2;LIMS2
DisGeNET	Embryonal Rhabdomyosarcoma	3/91	0.0015300336428855	0.0516011346228083	0	0	14.406673114119922	93.39076222450518	PTCH1;SPRY1;DMD
DisGeNET	Stomach Carcinoma	14/2378	0.0015909347533173	0.0526232264558809	0	0	2.8929780033840946	18.640711498426164	PCNA;THRB;HPSE2;PTCH1;LAMA3;ADAM33;LIFR;ISM1;RUNX3;NR3C2;CCNB1;NFIB;MET;WLS
DisGeNET	Adenoma of lung	2/24	0.0016321249773357	0.0527836746465016	0	0	37.74242424242424	242.22606459531664	RUNX3;MET
DisGeNET	Traditional Serrated Adenoma	3/94	0.0016793598271121	0.0527836746465016	0	0	13.92962356792144	89.00113745221904	PCNA;PTCH1;RUNX3
DisGeNET	Cervical Intraepithelial Neoplasia	4/205	0.0017074182405749	0.0527836746465016	0	0	8.54380272550292	54.44771404653876	PCNA;PTCH1;LAMA3;MET
DisGeNET	Malignant neoplasm of stomach	14/2398	0.0017247925073472	0.0527836746465016	0	0	2.865445563012677	18.23182297445273	PCNA;THRB;HPSE2;PTCH1;LAMA3;ADAM33;LIFR;ISM1;SMARCA2;RUNX3;CCNB1;NFIB;MET;WLS
DisGeNET	Down-sloping shoulders	2/25	0.0017712212130127	0.0527836746465016	0	0	36.09963768115942	228.73040961874747	PTCH1;PTCH2
